categories,shipping profile,hazmat,,subcategory categories,subcategories,,condition categories,conditions
,,,,,,,Kryptik,Graded
,,,,,,,Kryptik,New
,,,,,,,Kryptik,Mint
,,,,,,,Kryptik,Near Mint
,,,,,,,Kryptik,Light Played
,,,,,,,Kryptik,Moderately Played
,,,,,,,Kryptik,Heavily Played
,,,,,,,Kryptik,Damaged
,,,,,,,LEGO Minifigures,New in box
,,,,,,,LEGO Minifigures,New with damaged box
,,,,,,,LEGO Minifigures,New without box
,,,,,,,LEGO Minifigures,Used - Like New
,,,,,,,LEGO Minifigures,Used - Good
,,,,,,,LEGO Minifigures,Used - Fair
,,,,,,,LEGO Minifigures,Used - Poor
,,,,,,,LEGO Sets,New in box
,,,,,,,LEGO Sets,New with damaged box
,,,,,,,LEGO Sets,New without box
,,,,,,,LEGO Sets,Used - Like New
,,,,,,,LEGO Sets,Used - Good
,,,,,,,LEGO Sets,Used - Fair
,,,,,,,LEGO Sets,Used - Poor
,,,,,,,Lures,New
,,,,,,,Lures,pre-owned - Excellent
,,,,,,,Lures,pre-owned - good
,,,,,,,Lures,pre-owned - fair
,,,,,,,Lures,pre-owned - damaged
,,,,,,,Luxury Bags & Accessories,New With Tags
,,,,,,,Luxury Bags & Accessories,New Without Tags
,,,,,,,Luxury Bags & Accessories,New With Defects
,,,,,,,Luxury Bags & Accessories,Excellent
,,,,,,,Luxury Bags & Accessories,Very Good
,,,,,,,Luxury Bags & Accessories,Good
,,,,,,,Luxury Bags & Accessories,Fair
,,,,,,,Luxury Bags & Accessories,Poor
,,,,,,,MOTU Figures,Mint
,,,,,,,MOTU Figures,Near Mint
,,,,,,,MOTU Figures,Good
,,,,,,,MOTU Figures,Fair
,,,,,,,MOTU Figures,Poor
,,,,,,,Magazines,Brand New
,,,,,,,Magazines,Like New
,,,,,,,Magazines,Very Good
,,,,,,,Magazines,Good
,,,,,,,Magazines,Fair
,,,,,,,Magazines,Poor
,,,,,,,Magic: The Gathering,Graded
,,,,,,,Magic: The Gathering,New
,,,,,,,Magic: The Gathering,Mint
,,,,,,,Magic: The Gathering,Near Mint
,,,,,,,Magic: The Gathering,Light Played
,,,,,,,Magic: The Gathering,Moderately Played
,,,,,,,Magic: The Gathering,Heavily Played
,,,,,,,Magic: The Gathering,Damaged
,,,,,,,Marvel Cards,Graded
,,,,,,,Marvel Cards,New
,,,,,,,Marvel Cards,Mint
,,,,,,,Marvel Cards,Near Mint
,,,,,,,Marvel Cards,Light Played
,,,,,,,Marvel Cards,Moderately Played
,,,,,,,Marvel Cards,Heavily Played
,,,,,,,Marvel Cards,Damaged
,,,,,,,Marvel Figures,Mint
,,,,,,,Marvel Figures,Near Mint
,,,,,,,Marvel Figures,Good
,,,,,,,Marvel Figures,Fair
,,,,,,,Marvel Figures,Poor
,,,,,,,Men's Fashion,New With Tags
,,,,,,,Men's Fashion,New without Tags
,,,,,,,Men's Fashion,New with Defects
,,,,,,,Men's Fashion,Pre-owned - Excellent
,,,,,,,Men's Fashion,Pre-owned - Good
,,,,,,,Men's Fashion,Pre-owned - Fair
,,,,,,,Men's Fashion,Pre-owned - Damaged
,,,,,,,Men's Jewelry,New
,,,,,,,Men's Jewelry,New with defects
,,,,,,,Men's Jewelry,Pre-owned - Excellent
,,,,,,,Men's Jewelry,Pre-owned - Good
,,,,,,,Men's Jewelry,Pre-owned - Fair
,,,,,,,Men's Jewelry,Pre-owned - Damaged
,,,,,,,Men's Modern,New With Tags
,,,,,,,Men's Modern,New without Tags
,,,,,,,Men's Modern,New with Defects
,,,,,,,Men's Modern,Pre-owned - Excellent
,,,,,,,Men's Modern,Pre-owned - Good
,,,,,,,Men's Modern,Pre-owned - Fair
,,,,,,,Men's Modern,Pre-owned - Damaged
,,,,,,,Men's Vintage Clothing,New With Tags
,,,,,,,Men's Vintage Clothing,New without Tags
,,,,,,,Men's Vintage Clothing,New with Defects
,,,,,,,Men's Vintage Clothing,Pre-owned - Excellent
,,,,,,,Men's Vintage Clothing,Pre-owned - Good
,,,,,,,Men's Vintage Clothing,Pre-owned - Fair
,,,,,,,Men's Vintage Clothing,Pre-owned - Damaged
,,,,,,,MetaZoo,Graded
,,,,,,,MetaZoo,New
,,,,,,,MetaZoo,Mint
,,,,,,,MetaZoo,Near Mint
,,,,,,,MetaZoo,Light Played
,,,,,,,MetaZoo,Moderately Played
,,,,,,,MetaZoo,Heavily Played
,,,,,,,MetaZoo,Damaged
,,,,,,,Midrange & Fashion Bags,New With Tags
,,,,,,,Midrange & Fashion Bags,New Without Tags
,,,,,,,Midrange & Fashion Bags,New With Defects
,,,,,,,Midrange & Fashion Bags,Pre-owned - Excellent
,,,,,,,Midrange & Fashion Bags,Pre-owned - Very Good
,,,,,,,Midrange & Fashion Bags,Pre-owned - Good
,,,,,,,Midrange & Fashion Bags,Pre-owned - Fair
,,,,,,,Midrange & Fashion Bags,Pre-owned - Poor
,,,,,,,Modern Comics,Graded
,,,,,,,Modern Comics,Gem Mint
,,,,,,,Modern Comics,Mint
,,,,,,,Modern Comics,Near Mint
,,,,,,,Modern Comics,Very Fine
,,,,,,,Modern Comics,Fine
,,,,,,,Modern Comics,Very Good
,,,,,,,Modern Comics,Good
,,,,,,,Modern Comics,Fair
,,,,,,,Modern Comics,Poor
,,,,,,,Modern Games,"Brand New, Factory Sealed"
,,,,,,,Modern Games,Complete in Box
,,,,,,,Modern Games,Missing Manual
,,,,,,,Modern Games,Loose
,,,,,,,Modern Games,Graded
,,,,,,,Movie Memorabilia,Mint
,,,,,,,Movie Memorabilia,Excellent
,,,,,,,Movie Memorabilia,Very Good
,,,,,,,Movie Memorabilia,Good
,,,,,,,Movie Memorabilia,Fair
,,,,,,,Movie Memorabilia,Poor
,,,,,,,Music Memorabilia,Mint
,,,,,,,Music Memorabilia,Excellent
,,,,,,,Music Memorabilia,Very Good
,,,,,,,Music Memorabilia,"Good, Fair"
,,,,,,,Music Memorabilia,Poor
,,,,,,,My Hero Academia Cards,Graded
,,,,,,,My Hero Academia Cards,New
,,,,,,,My Hero Academia Cards,Mint
,,,,,,,My Hero Academia Cards,Near Mint
,,,,,,,My Hero Academia Cards,Light Played
,,,,,,,My Hero Academia Cards,Moderately Played
,,,,,,,My Hero Academia Cards,Heavily Played
,,,,,,,My Hero Academia Cards,Damaged
,,,,,,,Naruto Cards,Graded
,,,,,,,Naruto Cards,New
,,,,,,,Naruto Cards,Mint
,,,,,,,Naruto Cards,Near Mint
,,,,,,,Naruto Cards,Light Played
,,,,,,,Naruto Cards,Moderately Played
,,,,,,,Naruto Cards,Heavily Played
,,,,,,,Naruto Cards,Damaged
,,,,,,,New & Used Books,Brand New
,,,,,,,New & Used Books,Like New
,,,,,,,New & Used Books,Very Good
,,,,,,,New & Used Books,Good
,,,,,,,New & Used Books,Fair
,,,,,,,New & Used Books,Poor
,,,,,,,One Piece Cards,Graded
,,,,,,,One Piece Cards,New
,,,,,,,One Piece Cards,Mint
,,,,,,,One Piece Cards,Near Mint
,,,,,,,One Piece Cards,Light Played
,,,,,,,One Piece Cards,Moderately Played
,,,,,,,One Piece Cards,Heavily Played
,,,,,,,One Piece Cards,Damaged
,,,,,,,Other Accessories,New With Tags
,,,,,,,Other Accessories,New Without Tags
,,,,,,,Other Accessories,New With Defects
,,,,,,,Other Accessories,Excellent
,,,,,,,Other Accessories,Very Good
,,,,,,,Other Accessories,Good
,,,,,,,Other Accessories,Fair
,,,,,,,Other Accessories,Poor
,,,,,,,Other Action Figures,Mint
,,,,,,,Other Action Figures,Near Mint
,,,,,,,Other Action Figures,Good
,,,,,,,Other Action Figures,Fair
,,,,,,,Other Action Figures,Poor
,,,,,,,Other Craft Supplies,New
,,,,,,,Other Craft Supplies,Pre-owned - Excellent
,,,,,,,Other Craft Supplies,Pre-owned - Good
,,,,,,,Other Craft Supplies,Pre-owned - Fair
,,,,,,,Other Craft Supplies,Pre-owned - Damaged
,,,,,,,Other Diecast,Mint
,,,,,,,Other Diecast,Near Mint
,,,,,,,Other Diecast,Good
,,,,,,,Other Diecast,Fair
,,,,,,,Other Diecast,Poor
,,,,,,,Other Electronics,Brand New
,,,,,,,Other Electronics,Open-box
,,,,,,,Other Electronics,Refurbished
,,,,,,,Other Electronics,Used and fully functioning
,,,,,,,Other Electronics,"For parts, not fully functioning, or untested"
,,,,,,,Other Fishing Equipment,New
,,,,,,,Other Fishing Equipment,pre-owned - Excellent
,,,,,,,Other Fishing Equipment,pre-owned - good
,,,,,,,Other Fishing Equipment,pre-owned - fair
,,,,,,,Other Fishing Equipment,pre-owned - damaged
,,,,,,,Other Funko Products,Mint
,,,,,,,Other Funko Products,Near Mint
,,,,,,,Other Funko Products,Good
,,,,,,,Other Funko Products,Fair
,,,,,,,Other Funko Products,Poor
,,,,,,,Other Home & Garden,New with box
,,,,,,,Other Home & Garden,New without box
,,,,,,,Other Home & Garden,New with defects
,,,,,,,Other Home & Garden,Refurbished
,,,,,,,Other Home & Garden,Pre-owned - Good
,,,,,,,Other Home & Garden,Pre-owned - Fair
,,,,,,,Other Home & Garden,Pre-owned - Damaged
,,,,,,,Other LEGO,New in box
,,,,,,,Other LEGO,New with damaged box
,,,,,,,Other LEGO,New without box
,,,,,,,Other LEGO,Used - Like New
,,,,,,,Other LEGO,Used - Good
,,,,,,,Other LEGO,Used - Fair
,,,,,,,Other LEGO,Used - Poor
,,,,,,,Other Men's Fashion,New With Tags
,,,,,,,Other Men's Fashion,New without Tags
,,,,,,,Other Men's Fashion,New with Defects
,,,,,,,Other Men's Fashion,Pre-owned - Excellent
,,,,,,,Other Men's Fashion,Pre-owned - Good
,,,,,,,Other Men's Fashion,Pre-owned - Fair
,,,,,,,Other Men's Fashion,Pre-owned - Damaged
,,,,,,,Other Outdoors Gear,New
,,,,,,,Other Outdoors Gear,pre-owned - Excellent
,,,,,,,Other Outdoors Gear,pre-owned - good
,,,,,,,Other Outdoors Gear,pre-owned - fair
,,,,,,,Other Outdoors Gear,pre-owned - damaged
,,,,,,,Other Plush,New
,,,,,,,Other Plush,Used
,,,,,,,Other Sports Cards,Graded
,,,,,,,Other Sports Cards,Raw - Near Mint or Better
,,,,,,,Other Sports Cards,Raw - Excellent
,,,,,,,Other Sports Cards,Raw - Very Good
,,,,,,,Other Sports Cards,Raw - Poor
,,,,,,,Other Women's Fashion,New With Tags
,,,,,,,Other Women's Fashion,New without Tags
,,,,,,,Other Women's Fashion,New with Defects
,,,,,,,Other Women's Fashion,Pre-owned - Excellent
,,,,,,,Other Women's Fashion,Pre-owned - Good
,,,,,,,Other Women's Fashion,Pre-owned - Fair
,,,,,,,Other Women's Fashion,Pre-owned - Damaged
,,,,,,,Paper Money & Currency,Gem Uncirculated
,,,,,,,Paper Money & Currency,Uncirculated
,,,,,,,Paper Money & Currency,Very Fine
,,,,,,,Paper Money & Currency,Fine
,,,,,,,Paper Money & Currency,Good
,,,,,,,Paper Money & Currency,Poor
,,,,,,,Pokémon Cards,Graded
,,,,,,,Pokémon Cards,New
,,,,,,,Pokémon Cards,Mint
,,,,,,,Pokémon Cards,Near Mint
,,,,,,,Pokémon Cards,Light Played
,,,,,,,Pokémon Cards,Moderately Played
,,,,,,,Pokémon Cards,Heavily Played
,,,,,,,Pokémon Cards,Damaged
,,,,,,,Pokémon Plush,New
,,,,,,,Pokémon Plush,Used
,,,,,,,Pop Culture Memorabilia,Graded
,,,,,,,Pop Culture Memorabilia,Gem Mint
,,,,,,,Pop Culture Memorabilia,Mint
,,,,,,,Pop Culture Memorabilia,Near Mint
,,,,,,,Pop Culture Memorabilia,Very Fine
,,,,,,,Pop Culture Memorabilia,Fine
,,,,,,,Pop Culture Memorabilia,Very Good
,,,,,,,Pop Culture Memorabilia,Good
,,,,,,,Pop Culture Memorabilia,Fair
,,,,,,,Pop Culture Memorabilia,Poor
,,,,,,,Power Rangers,Mint
,,,,,,,Power Rangers,Near Mint
,,,,,,,Power Rangers,Good
,,,,,,,Power Rangers,Fair
,,,,,,,Power Rangers,Poor
,,,,,,,Rare & Vintage Books,Brand New
,,,,,,,Rare & Vintage Books,Like New
,,,,,,,Rare & Vintage Books,Very Good
,,,,,,,Rare & Vintage Books,Good
,,,,,,,Rare & Vintage Books,Fair
,,,,,,,Rare & Vintage Books,Poor
,,,,,,,Reels,New
,,,,,,,Reels,pre-owned - Excellent
,,,,,,,Reels,pre-owned - good
,,,,,,,Reels,pre-owned - fair
,,,,,,,Reels,pre-owned - damaged
,,,,,,,Retro Games,"Brand New, Factory Sealed"
,,,,,,,Retro Games,Complete in Box
,,,,,,,Retro Games,Missing Manual
,,,,,,,Retro Games,Loose
,,,,,,,Retro Games,Graded
,,,,,,,Rods,New
,,,,,,,Rods,pre-owned - Excellent
,,,,,,,Rods,pre-owned - good
,,,,,,,Rods,pre-owned - fair
,,,,,,,Rods,pre-owned - damaged
,,,,,,,Simpsons Figures,Mint
,,,,,,,Simpsons Figures,Near Mint
,,,,,,,Simpsons Figures,Good
,,,,,,,Simpsons Figures,Fair
,,,,,,,Simpsons Figures,Poor
,,,,,,,Sneakers,New
,,,,,,,Sneakers,New With Defects
,,,,,,,Sneakers,Used
,,,,,,,Sneakers,Not Specified
,,,,,,,Soccer Singles,Graded
,,,,,,,Soccer Singles,Raw - Near Mint or Better
,,,,,,,Soccer Singles,Raw - Excellent
,,,,,,,Soccer Singles,Raw - Very Good
,,,,,,,Soccer Singles,Raw - Poor
,,,,,,,Sorcery: Contested Realm,Graded
,,,,,,,Sorcery: Contested Realm,New
,,,,,,,Sorcery: Contested Realm,Mint
,,,,,,,Sorcery: Contested Realm,Near Mint
,,,,,,,Sorcery: Contested Realm,Light Played
,,,,,,,Sorcery: Contested Realm,Moderately Played
,,,,,,,Sorcery: Contested Realm,Heavily Played
,,,,,,,Sorcery: Contested Realm,Damaged
,,,,,,,Sports Jerseys,New With Tags
,,,,,,,Sports Jerseys,New without Tags
,,,,,,,Sports Jerseys,New with Defects
,,,,,,,Sports Jerseys,Pre-owned - Excellent
,,,,,,,Sports Jerseys,Pre-owned - Good
,,,,,,,Sports Jerseys,Pre-owned - Fair
,,,,,,,Sports Jerseys,Pre-owned - Damaged
,,,,,,,Squishmallows,New
,,,,,,,Squishmallows,Used
,,,,,,,Stamps,Pre-owned - Excellent
,,,,,,,Stamps,Pre-owned - Good
,,,,,,,Stamps,Pre-owned - Fair
,,,,,,,Stamps,Pre-owned - Damaged
,,,,,,,Star Wars Cards,Graded
,,,,,,,Star Wars Cards,New
,,,,,,,Star Wars Cards,Mint
,,,,,,,Star Wars Cards,Near Mint
,,,,,,,Star Wars Cards,Light Played
,,,,,,,Star Wars Cards,Moderately Played
,,,,,,,Star Wars Cards,Heavily Played
,,,,,,,Star Wars Cards,Damaged
,,,,,,,Star Wars Figures,Mint
,,,,,,,Star Wars Figures,Near Mint
,,,,,,,Star Wars Figures,Good
,,,,,,,Star Wars Figures,Fair
,,,,,,,Star Wars Figures,Poor
,,,,,,,"Strategy Guides, Manuals, Replacement Cases",Brand New
,,,,,,,"Strategy Guides, Manuals, Replacement Cases",Like New
,,,,,,,"Strategy Guides, Manuals, Replacement Cases",Very Good
,,,,,,,"Strategy Guides, Manuals, Replacement Cases",Good
,,,,,,,"Strategy Guides, Manuals, Replacement Cases",Acceptable
,,,,,,,Streetwear,New With Tags
,,,,,,,Streetwear,New without Tags
,,,,,,,Streetwear,New with Defects
,,,,,,,Streetwear,Pre-owned - Excellent
,,,,,,,Streetwear,Pre-owned - Good
,,,,,,,Streetwear,Pre-owned - Fair
,,,,,,,Streetwear,Pre-owned - Damaged
,,,,,,,TCG Accessories,Graded
,,,,,,,TCG Accessories,New
,,,,,,,TCG Accessories,Mint
,,,,,,,TCG Accessories,Near Mint
,,,,,,,TCG Accessories,Light Played
,,,,,,,TCG Accessories,Moderately Played
,,,,,,,TCG Accessories,Heavily Played
,,,,,,,TCG Accessories,Damaged
,,,,,,,TMNT Figures,Mint
,,,,,,,TMNT Figures,Near Mint
,,,,,,,TMNT Figures,Good
,,,,,,,TMNT Figures,Fair
,,,,,,,TMNT Figures,Poor
,,,,,,,Tools,Brand New
,,,,,,,Tools,Open-box
,,,,,,,Tools,Refurbished
,,,,,,,Tools,Used and fully functioning
,,,,,,,Tools,"For parts, not fully functioning, or untested"
,,,,,,,Trading Card Games,Graded
,,,,,,,Trading Card Games,New
,,,,,,,Trading Card Games,Mint
,,,,,,,Trading Card Games,Near Mint
,,,,,,,Trading Card Games,Light Played
,,,,,,,Trading Card Games,Moderately Played
,,,,,,,Trading Card Games,Heavily Played
,,,,,,,Trading Card Games,Damaged
,,,,,,,Transformers Figures,Mint
,,,,,,,Transformers Figures,Near Mint
,,,,,,,Transformers Figures,Good
,,,,,,,Transformers Figures,Fair
,,,,,,,Transformers Figures,Poor
,,,,,,,UFC Singles,Graded
,,,,,,,UFC Singles,Raw - Near Mint or Better
,,,,,,,UFC Singles,Raw - Excellent
,,,,,,,UFC Singles,Raw - Very Good
,,,,,,,UFC Singles,Raw - Poor
,,,,,,,Union Arena,Graded
,,,,,,,Union Arena,New
,,,,,,,Union Arena,Mint
,,,,,,,Union Arena,Near Mint
,,,,,,,Union Arena,Light Played
,,,,,,,Union Arena,Moderately Played
,,,,,,,Union Arena,Heavily Played
,,,,,,,Union Arena,Damaged
,,,,,,,VHS,Brand New
,,,,,,,VHS,Like New
,,,,,,,VHS,Very Good
,,,,,,,VHS,Good
,,,,,,,VHS,Fair
,,,,,,,VHS,Poor
,,,,,,,VeeFriends,Graded
,,,,,,,VeeFriends,New
,,,,,,,VeeFriends,Mint
,,,,,,,VeeFriends,Near Mint
,,,,,,,VeeFriends,Light Played
,,,,,,,VeeFriends,Moderately Played
,,,,,,,VeeFriends,Heavily Played
,,,,,,,VeeFriends,Damaged
,,,,,,,Vintage & Antique Jewelry,New
,,,,,,,Vintage & Antique Jewelry,New with defects
,,,,,,,Vintage & Antique Jewelry,Pre-owned - Excellent
,,,,,,,Vintage & Antique Jewelry,Pre-owned - Good
,,,,,,,Vintage & Antique Jewelry,Pre-owned - Fair
,,,,,,,Vintage & Antique Jewelry,Pre-owned - Damaged
,,,,,,,Vintage Comics,Graded
,,,,,,,Vintage Comics,Gem Mint
,,,,,,,Vintage Comics,Mint
,,,,,,,Vintage Comics,Near Mint
,,,,,,,Vintage Comics,Very Fine
,,,,,,,Vintage Comics,Fine
,,,,,,,Vintage Comics,Very Good
,,,,,,,Vintage Comics,Good
,,,,,,,Vintage Comics,Fair
,,,,,,,Vintage Comics,Poor
,,,,,,,Vintage Decor,Pre-owned - Excellent
,,,,,,,Vintage Decor,Pre-owned - Good
,,,,,,,Vintage Decor,Pre-owned - Fair
,,,,,,,Vintage Decor,Pre-owned - Damaged
,,,,,,,Vinyl Records,Mint (M)
,,,,,,,Vinyl Records,Near Mint (NM or M-)
,,,,,,,Vinyl Records,Excellent (EX)
,,,,,,,Vinyl Records,Very Good Plus (VG+)
,,,,,,,Vinyl Records,Very Good (VG)
,,,,,,,Vinyl Records,Good Plus (G+)
,,,,,,,Vinyl Records,Good (G)
,,,,,,,Vinyl Records,Fair (F)
,,,,,,,Weiß Schwarz,Graded
,,,,,,,Weiß Schwarz,New
,,,,,,,Weiß Schwarz,Mint
,,,,,,,Weiß Schwarz,Near Mint
,,,,,,,Weiß Schwarz,Light Played
,,,,,,,Weiß Schwarz,Moderately Played
,,,,,,,Weiß Schwarz,Heavily Played
,,,,,,,Weiß Schwarz,Damaged
,,,,,,,Women's Activewear,New With Tags
,,,,,,,Women's Activewear,New without Tags
,,,,,,,Women's Activewear,New with Defects
,,,,,,,Women's Activewear,Pre-owned - Excellent
,,,,,,,Women's Activewear,Pre-owned - Good
,,,,,,,Women's Activewear,Pre-owned - Fair
,,,,,,,Women's Activewear,Pre-owned - Damaged
,,,,,,,Women's Contemporary,New With Tags
,,,,,,,Women's Contemporary,New without Tags
,,,,,,,Women's Contemporary,New with Defects
,,,,,,,Women's Contemporary,Pre-owned - Excellent
,,,,,,,Women's Contemporary,Pre-owned - Good
,,,,,,,Women's Contemporary,Pre-owned - Fair
,,,,,,,Women's Contemporary,Pre-owned - Damaged
,,,,,,,Women's Fashion,New With Tags
,,,,,,,Women's Fashion,New without Tags
,,,,,,,Women's Fashion,New with Defects
,,,,,,,Women's Fashion,Pre-owned - Excellent
,,,,,,,Women's Fashion,Pre-owned - Good
,,,,,,,Women's Fashion,Pre-owned - Fair
,,,,,,,Women's Fashion,Pre-owned - Damaged
,,,,,,,Women's Shoes,New With Tags
,,,,,,,Women's Shoes,New without Tags
,,,,,,,Women's Shoes,New with Defects
,,,,,,,Women's Shoes,Pre-owned - Excellent
,,,,,,,Women's Shoes,Pre-owned - Good
,,,,,,,Women's Shoes,Pre-owned - Fair
,,,,,,,Women's Shoes,Pre-owned - Damaged
,,,,,,,Women's True Vintage,New With Tags
,,,,,,,Women's True Vintage,New without Tags
,,,,,,,Women's True Vintage,New with Defects
,,,,,,,Women's True Vintage,Pre-owned - Excellent
,,,,,,,Women's True Vintage,Pre-owned - Good
,,,,,,,Women's True Vintage,Pre-owned - Fair
,,,,,,,Women's True Vintage,Pre-owned - Damaged
,,,,,,,Wrestling Figures,Mint
,,,,,,,Wrestling Figures,Near Mint
,,,,,,,Wrestling Figures,Good
,,,,,,,Wrestling Figures,Fair
,,,,,,,Wrestling Figures,Poor
,,,,,,,Wrestling Singles,Graded
,,,,,,,Wrestling Singles,Raw - Near Mint or Better
,,,,,,,Wrestling Singles,Raw - Excellent
,,,,,,,Wrestling Singles,Raw - Very Good
,,,,,,,Wrestling Singles,Raw - Poor
,,,,,,,Y2K,New With Tags
,,,,,,,Y2K,New without Tags
,,,,,,,Y2K,New with Defects
,,,,,,,Y2K,Pre-owned - Excellent
,,,,,,,Y2K,Pre-owned - Good
,,,,,,,Y2K,Pre-owned - Fair
,,,,,,,Y2K,Pre-owned - Damaged
,,,,,,,Yu-Gi-Oh! Cards,Graded
,,,,,,,Yu-Gi-Oh! Cards,New
,,,,,,,Yu-Gi-Oh! Cards,Mint
,,,,,,,Yu-Gi-Oh! Cards,Near Mint
,,,,,,,Yu-Gi-Oh! Cards,Light Played
,,,,,,,Yu-Gi-Oh! Cards,Moderately Played
,,,,,,,Yu-Gi-Oh! Cards,Heavily Played
,,,,,,,Yu-Gi-Oh! Cards,Damaged